Establishment ID,Establishment Status,Inspection ID,Establishment Name,Establishment Type,Infraction Details,Severity,Action,Outcome,Amount Fined,Inspection Date,year,month,day
10466215,Pass,105482480.0,QI NATURAL FOOD,Restaurant,FOOD PREMISE NOT MAINTAINED TO KEEP FOOD-HANDLING ROOM FREE FROM MATERIALS NOT REGULARLY USED - SEC. 7(1)(F) ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10572078,Pass,105481661.0,QQ Thai Ice Cream,Food Take Out,Fail to protect against entry of pests - Sec. 13(1),M - Minor,Notice to Comply,,,2024-10-24,2024,10,24
9400196,Pass,105401385.0,R  BAKERY,Bakery,,,,,,2024-10-25,2024,10,25
10665162,Pass,105482033.0,RAKU,Restaurant,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10828112,Pass,105482005.0,REAL FOOD FOR REAL KIDS - DISTRIBUTION CENTRE,Food Depot,,,,,,2024-10-25,2024,10,25
10753314,Pass,105481963.0,REGINO'S PIZZA,Food Take Out,OPERATE FOOD PREMISE - FAIL TO EQUIP SANITARY FACILITY WITH SINGLE SERVICE TOWELS OR DRYER - SEC. 25(3)(E)   ,S - Significant,Corrected During Inspection,,,2024-10-25,2024,10,25
10749187,Pass,105443212.0,ROIS CREAM,Restaurant,,,,,,2024-10-25,2024,10,25
10498011,Pass,105480365.0,ROYAL CANADIAN MILITARY INSTITUTE - MAIN KITCHEN,Cafeteria - Private Access,,,,,,2024-10-25,2024,10,25
10517235,Pass,105480366.0,ROYAL CANADIAN MILITARY INSTITUTE - PREPARATION KITCHEN,Cafeteria - Private Access,,,,,,2024-10-25,2024,10,25
9013256,Pass,105480489.0,RUSTIC BAKERY LTD,Restaurant,,,,,,2024-10-25,2024,10,25
10378492,Pass,105482408.0,SALAD KING,Restaurant,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10818260,Pass,105479853.0,SARVI INDIAN CUISINE,Restaurant,,,,,,2024-10-25,2024,10,25
10666877,Pass,105479344.0,Mezz - SCOTIABANK - GALLERY B,Cafeteria - Private Access,,,,,,2024-10-25,2024,10,25
10575101,Pass,105481801.0,SEB'S CAPUCCINO,Restaurant,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,NA - Not Applicable,Notice to Comply,,,2024-10-25,2024,10,25
10575101,Pass,105481801.0,SEB'S CAPUCCINO,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10645308,Pass,105479498.0,SHAMYAT MIDDLE EAST CUISINE,Food Caterer,,,,,,2024-10-25,2024,10,25
10799120,Pass,105482075.0,SHELBY'S LEGENDARY SHAWARMA,Food Take Out,,,,,,2024-10-25,2024,10,25
10676032,Pass,105482141.0,SNOW TEA,Bakery,,,,,,2024-10-25,2024,10,25
10344634,Pass,105481761.0,SOBEYS URBAN FRESH,Supermarket,,,,,,2024-10-25,2024,10,25
10818619,Pass,105482098.0,SRIRAM BAKERY AND CATERING INC,Food Take Out,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1),C - Crucial,Notice to Comply,,,2024-10-25,2024,10,25
10818619,Pass,105482098.0,SRIRAM BAKERY AND CATERING INC,Food Take Out,Fail to maintain records of pest control measures taken - Sec. 13(2),S - Significant,Notice to Comply,,,2024-10-25,2024,10,25
10809942,Pass,105481956.0,STACKED,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10809942,Pass,105481956.0,STACKED,Restaurant,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10565360,Pass,105482378.0,TAYLOR'S LANDING,Restaurant,Fail to protect against entry of pests - Sec. 13(1),M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10565360,Pass,105482378.0,TAYLOR'S LANDING,Restaurant,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10565360,Pass,105482378.0,TAYLOR'S LANDING,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10565360,Pass,105482378.0,TAYLOR'S LANDING,Restaurant,USE UTENSILS NOT FREE FROM CRACKS IN CONTACT WITH FOOD - SEC. 8(2)(B)  ,S - Significant,Corrected During Inspection,,,2024-10-25,2024,10,25
10683271,Pass,105482111.0,THAI ROOM THAI & MALAYSIAN CUISINE,Restaurant,FOOD PREMISE NOT MAINTAINED TO KEEP FOOD-HANDLING ROOM FREE FROM MATERIALS NOT REGULARLY USED - SEC. 7(1)(F) ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10683271,Pass,105482111.0,THAI ROOM THAI & MALAYSIAN CUISINE,Restaurant,OPERATE FOOD PREMISE - MECHANICAL EQUIPMENT NOT MAINTAINED TO PROVIDE SUFFICIENT CHEMICAL SOLUTION RINSE - SEC. 20(1)(A)(II)(B) ,S - Significant,Corrected During Inspection,,,2024-10-25,2024,10,25
10827799,Pass,105479864.0,THE BIG SLICE PIZZA AND CHICKEN,Restaurant,,,,,,2024-10-25,2024,10,25
10788369,Pass,105482311.0,THE CHULO,Restaurant,,,,,,2024-10-25,2024,10,25
9016103,Pass,105481945.0,THE STERLING HALL CAFETERIA,Cafeteria - Private Access,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10813898,Pass,105478208.0,THIRSTEA BLOOR STREET,Food Take Out,,,,,,2024-10-25,2024,10,25
9044191,Pass,105481949.0,TIMOTHY'S,Food Take Out,,,,,,2024-10-25,2024,10,25
9016447,Pass,105481942.0,TODAY'S CHILD-TOMORROW'S FUTURE CHILDREN'S CENTRE. BLANTYRE BRANCH,Child Care - Food Preparation,,,,,,2024-10-25,2024,10,25
10533519,Pass,105481884.0,WENDY'S,Restaurant,,,,,,2024-10-25,2024,10,25
10746816,Pass,105482457.0,EAT NABATI,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10804249,Pass,105482073.0,GIANNI'S PASTA,Food Take Out,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10804249,Pass,105482073.0,GIANNI'S PASTA,Food Take Out,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),S - Significant,Corrected During Inspection,,,2024-10-25,2024,10,25
10804249,Pass,105482073.0,GIANNI'S PASTA,Food Take Out,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,NA - Not Applicable,Notice to Comply,,,2024-10-25,2024,10,25
10472630,Pass,105482491.0,Kairali,Restaurant,,,,,,2024-10-25,2024,10,25
10547970,Pass,105482460.0,OTTO'S BERLIN DONER,Restaurant,Food premise not maintained with floors in good repair in food-handling room - Sec. 7(1)(g)  ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
